Date,High,Low,Mid,Last,Bid,Ask,Volume
2019-02-16,3298.0,3243.5,3259.65,3261.0,3259.6,3259.7,499.08946871
2019-02-15,3302.8,3233.8,3244.15,3244.7,3244.1,3244.2,822.18559067
2019-02-14,3267.0,3225.9,3237.5,3239.1,3237.4,3237.6,1003.07951274
2019-02-13,3301.2,3210.0,3254.75,3254.7,3254.7,3254.8,1359.90370592
2019-02-12,3289.73632622,3232.68944,3262.0,3259.5,3261.7,3262.3,1412.47048271
2019-02-11,3311.3,3250.0,3264.75,3266.1339284,3264.7,3264.8,1333.47543148
2019-02-10,3310.8,3230.6,3305.05,3304.91869806,3305.0,3305.1,844.74076042
2019-02-09,3298.0,3252.1,3280.2,3280.2,3280.1,3280.3,382.2828923
2019-02-08,3353.06219601,3023.3,3278.95,3278.90519501,3278.9,3279.0,3465.07630741
2019-02-07,3054.6,3009.6,3030.05,3030.1,3030.0,3030.1,1074.45458482
2019-02-06,3086.7,2995.0,3036.6,3033.7,3036.5,3036.7,1658.63805355
2019-02-05,3078.9,3038.9,3077.75,3077.7,3077.7,3077.8,816.46870305
2019-02-04,3074.8,3034.71580761,3052.2,3052.162828,3052.1,3052.3,924.68218407
2019-02-03,3124.9,3030.1,3054.45,3054.4,3054.4,3054.5,807.74635985
2019-02-02,3124.9,3053.7,3117.05,3117.0,3117.0,3117.1,1281.06312698
2019-02-01,3106.41977039,3023.4,3090.4,3090.47981224,3090.3,3090.5,1407.0251101
2019-01-31,3111.3,3039.1,3056.5,3056.5,3056.4,3056.6,1407.1131178
2019-01-30,3104.2,3019.9,3073.0,3073.94120765,3072.7,3073.3,1864.14573075
2019-01-29,3075.4,2992.2,3042.35,3042.3,3042.3,3042.4,1596.77087789
2019-01-28,3156.2,3019.2,3066.65,3065.8,3066.6,3066.7,1493.03141228
2019-01-27,3197.6,3106.35672827,3153.05,3154.4,3153.0,3153.1,1067.50107568
2019-01-26,3289.33125,3177.8448495,3187.95,3187.6,3187.7,3188.2,978.81503124
2019-01-25,3238.8,3157.1,3184.4,3184.3,3184.3,3184.5,1152.67243425
2019-01-24,3246.3,3151.9,3223.55,3223.6,3223.5,3223.6,1085.48451187
2019-01-23,3237.7,3155.1,3180.0,3180.0,3179.9,3180.1,995.61460942
2019-01-22,3238.9,3052.3,3202.1,3201.9,3202.0,3202.2,1496.81098405
2019-01-21,3185.5,3121.5,3149.0,3149.9,3148.9,3149.1,1204.09685805
2019-01-20,3337.9,3116.0,3155.3,3155.3,3155.2,3155.4,1828.53198003
2019-01-19,3413.5008337,3231.9,3313.3,3312.9,3313.2,3313.4,1402.59184952
2019-01-18,3268.74419567,3207.0,3233.15,3233.2,3233.1,3233.2,781.26642055
2019-01-17,3273.0,3165.01748356,3265.4,3265.6,3265.3,3265.5,1136.24903733
2019-01-16,3303.5,3193.5,3224.85,3226.9,3224.7,3225.0,1542.7282534
2019-01-15,3294.9,3177.0,3202.55,3200.7,3202.3,3202.8,1525.58736635
2019-01-14,3312.4,3123.8,3269.95,3268.6,3269.9,3270.0,1560.43244803
2019-01-13,3248.1,3112.59373648,3126.9,3126.7,3126.4,3127.4,1050.87720325
2019-01-12,3255.58123586,3196.81686111,3227.6,3227.24529848,3227.5,3227.7,746.77881162
2019-01-11,3283.6,3196.81686111,3232.8,3234.3,3232.7,3232.9,1239.12603155
2019-01-09,3639.0,3481.4018,3535.65,3535.7,3535.6,3535.7,2343.45886544
2019-01-07,3677.6,3536.15543501,3581.8,3584.0,3581.7,3581.9,1111.46880973
2019-01-06,3701.2,3411.6,3657.45,3657.4008043,3657.4,3657.5,1235.27895047
2019-01-05,3523.2,3423.6150407,3434.2,3432.9,3433.7,3434.7,657.42844763
2019-01-04,3497.26047929,3393.8,3474.8,3476.1,3474.7,3474.9,1194.83384396
2019-01-02,3600.0,3409.9,3583.8,3583.76676297,3583.7,3583.9,1760.09856668
2019-01-01,3472.5,3270.05001315,3447.9,3446.2,3446.6,3449.2,1675.57726404
2018-12-31,3483.7,3297.0,3324.55,3324.1,3324.3,3324.8,1186.60291287
2018-12-30,3500.0,3356.75109297,3474.1,3475.7,3472.7,3475.5,1294.51345869
2018-12-29,3584.1,3374.49826642,3390.55,3388.8,3389.7,3391.4,1252.96612621
2018-12-28,3579.5,3226.3,3520.2,3517.2,3520.1,3520.3,2049.91705604
2018-12-27,3489.4,3225.00000283,3249.7,3253.30000046,3249.6,3249.8,1895.96492652
2018-12-26,3495.4,3346.89037133,3462.5,3461.9,3461.9,3463.1,925.15880456
2018-12-25,3645.5,3344.4000128,3408.45,3408.4,3408.1,3408.8,1838.88053952
2018-12-24,3850.00000178,3579.6,3632.9,3632.8,3632.8,3633.0,2872.5362036
2018-12-23,3702.72997406,3542.9,3581.7,3582.3,3581.6,3581.8,1136.64289516
2018-12-22,3658.80672407,3444.4,3623.7,3624.1,3623.6,3623.8,617.38967721
2018-12-21,3754.6,3437.0,3492.7,3498.9,3492.6,3492.8,2857.73758514
2018-12-20,3761.6,3319.3,3669.8,3669.74238538,3669.7,3669.9,4536.76834088
